scene_index,scene_id,bank_id,city_id,role,bank_index_within_city,base_map_cluster_id,canonical_base_map_sha256,scene_xml_sha256,bank_record_sha256,verification_status
0,osm-sionna-source-chicago-bank-00,osm-sionna-source-chicago-bank-00,source-chicago,source_encoder_train,0,osm-foundation-source-chicago-00,ae3ccfade5dfa51535fa2845cb4b424fecae573daa6a7aadcec63771ad8c6d19,ebac2cbe4a2fcfbbeac8a31d1d0366a1f2f60387f5e5b5414007d1eee0b9d744,0e2bdb23b5d53df5690f20a63fa233c988002c838803aca35f61c727e8f41f60,PASS
1,osm-sionna-source-austin-bank-00,osm-sionna-source-austin-bank-00,source-austin,source_encoder_train,0,osm-foundation-source-austin-00,cf8c4334e8894775385d68eed9d148585afd255919dc86114a82bfdc4af5f4e0,ebac2cbe4a2fcfbbeac8a31d1d0366a1f2f60387f5e5b5414007d1eee0b9d744,ff081be2073d775210dee7f0d7b357dd0556b7192281a8324adaabf257fdc9a5,PASS
2,osm-sionna-source-chicago-bank-01,osm-sionna-source-chicago-bank-01,source-chicago,source_method_selection,1,osm-foundation-source-chicago-01,827c778a1b924377c62d3db9383bcc2fc9b8e77d52e670bfa6b7f795d152da98,ebac2cbe4a2fcfbbeac8a31d1d0366a1f2f60387f5e5b5414007d1eee0b9d744,fb8b86641e28a31cbcd866a61789f488b8d44ba33efc37a7e6c0dd8d3df8e894,PASS
3,osm-sionna-source-austin-bank-01,osm-sionna-source-austin-bank-01,source-austin,source_method_selection,1,osm-foundation-source-austin-01,24d99f6c46b8a80b43b7b804ed7ff9388e37108f11eb999461adbd1c45c44b68,ebac2cbe4a2fcfbbeac8a31d1d0366a1f2f60387f5e5b5414007d1eee0b9d744,50aa606b3d2ce2b8c56e6cf46db65ddbcc70b1b665c122317c6dc003cc4f7730,PASS
4,osm-sionna-source-chicago-bank-02,osm-sionna-source-chicago-bank-02,source-chicago,source_probe_train,2,osm-foundation-source-chicago-02,300414b5058833534ba0c8445578b197be3d1e5cb04c25b44d8257a9427e7a38,ebac2cbe4a2fcfbbeac8a31d1d0366a1f2f60387f5e5b5414007d1eee0b9d744,b9fbfea2031f78e9498b31690145b084c95028dee48189537e7b280728a8d196,PASS
5,osm-sionna-source-austin-bank-02,osm-sionna-source-austin-bank-02,source-austin,source_probe_train,2,osm-foundation-source-austin-02,c7dab0975fa22129f4eb4397580f3b4ab668c10226da0fb54b048736e86cb037,ebac2cbe4a2fcfbbeac8a31d1d0366a1f2f60387f5e5b5414007d1eee0b9d744,a6c2e89cabaabfb1d295c5a317565419bca7f1019f91a6f6a26a2285740e3fbd,PASS
6,osm-sionna-source-chicago-bank-03,osm-sionna-source-chicago-bank-03,source-chicago,source_probe_selection,3,osm-foundation-source-chicago-03,30583fa63ec234c5589d10e03807e7e90455b07c3938bdad3367f8af00d45c15,ebac2cbe4a2fcfbbeac8a31d1d0366a1f2f60387f5e5b5414007d1eee0b9d744,9f25781e5240c8d9a516bcc97062eca78a3f1def82761fdc359657ab14986ac1,PASS
7,osm-sionna-source-austin-bank-03,osm-sionna-source-austin-bank-03,source-austin,source_probe_selection,3,osm-foundation-source-austin-03,dc5f3c42b01567f16d11a0f4e024e66a0e38807cc0d21c3727f484dc73b35576,ebac2cbe4a2fcfbbeac8a31d1d0366a1f2f60387f5e5b5414007d1eee0b9d744,bddc8dd1b05b2a3514a081f1d6e6541e1aa1a6a4b7b0789d585c4c0c3ef5fbbe,PASS
8,osm-sionna-source-chicago-bank-04,osm-sionna-source-chicago-bank-04,source-chicago,source_calibration_fit,4,osm-foundation-source-chicago-04,5814c1e7c6458cb47b2fee4971e4f61e88b2893ae6068876a5b9e8e851b5fb7e,ebac2cbe4a2fcfbbeac8a31d1d0366a1f2f60387f5e5b5414007d1eee0b9d744,b82087f323b5cc782b42953a2697da394ebbd2d38c4371860c6b03718cdba177,PASS
9,osm-sionna-source-austin-bank-04,osm-sionna-source-austin-bank-04,source-austin,source_calibration_fit,4,osm-foundation-source-austin-04,33e07b80762b28f397d52356f4a6ad63dbee9e198f9cfed24188ddb9c10a3218,ebac2cbe4a2fcfbbeac8a31d1d0366a1f2f60387f5e5b5414007d1eee0b9d744,7ccfbf62762cc0ed71322af5a08db67e951cf29e3ba19d1a8d89d1cb07679ae3,PASS
