shard_index,scene_start_inclusive,scene_end_exclusive,scene_count,npz_sha256,npz_bytes,manifest_sha256,manifest_bytes,duration_seconds,status
0,0,3,3,a4c02251fa41d8e94945bf105ddb00f73c447820492ebc367b2890a3183c32fe,2470774,4c88fac94a50486e2ad4321431a445dc23d6ee79398a3a116faae0ab16b25692,1423,2131.4230541250436,PASS
1,3,6,3,d7e818252fa68b902b2ae3c8325c2f5d4316b2fbe26f76d51fa6cb1d925279a6,2479578,80e552d18d7e1494f6bbed08db5b016c29d32261d7b5606da9ed760c2dc0c7f8,1423,1979.2504459159682,PASS
2,6,9,3,8f961dcd075118dc0e1140980ba3df4da75e85cc66e7ff5b578a8505bd01eeae,2444454,f901e244df602db36912fa5f2619d3ec90ff558a9354e96d43d2534b12b2d6d7,1422,2006.876797166071,PASS
3,9,12,3,a44e7e02b0235d859f407f72fdf0000ceabaf52e4e74a2e7cb55642022a822fd,2372948,5d5287306984822e77fbb81f521166936c2901d642c89de82f88de5be0e3b86f,1423,2108.262140000006,PASS
4,12,15,3,38ce925edace1c28be8bb416a9c5a572b231ba2bc4f0be285d5aaf72683c7e39,2386347,b54099df09703e6a049807aa9200c04e826335a4484d5b934c8d88ec1f2f6f00,1425,1687.1752835420193,PASS
5,15,18,3,6dca38001af760c40987c859f84f55323769c69353f112d4702d3ccbad524bbc,2406474,0623eb0a65195226881ed3e6f319476131c9e60387f113bb967a7197be44912a,1424,1685.742113083019,PASS
6,18,20,2,d843dcc5d404c4dc4b425c6007d38fc54fbcc46fcce116efd877741bdf7919de,1585732,875112401c81560e572d094640918484faab4054941c11cc85612dbc7a44f6f6,1425,1212.6298737500329,PASS
7,20,22,2,29d55ef366645a8e09a703a42846ddcb08b7e0df2e395ab005a2d0ab9da4177a,1736594,62a7c7791ddae6203724f8d62ab07ce482f54ef8ed1fdfa48de86b396fc4cf52,1425,1259.6260632920312,PASS
8,22,24,2,8c5ac54d65533ac5a9bcc09661e45994d3d6febe4dbbf7b4c72a5cbdb70adc88,2038126,cfb5da7a9becad53de362abf6ad5d6dd2ffbc70547585a1817113ed1b3579cfe,1425,1487.3938157920493,PASS
9,24,26,2,b57ca36597af4f994da8df082ccbf15b9ee821a0d1c4b329ebfdac2ca0692b6e,1750198,08313d378d602c5fd2eeb719822a4a3bd86ae91edac4780d046f3a7d3bacd69b,1425,1693.1450179589447,PASS
10,26,28,2,7c540b2b610fc6f7374df1da5707e64b459005dd834785d74d99ae356af88ea8,1786484,466c9eb8a0dd456ae5581db909e5f45d0bc5856eb7ee16172791ec141e9d78cc,1427,1407.6648519580485,PASS
11,28,30,2,db362468082068c22db88741bf2f6922dbdda9350f90a9fbc342a3e1d8780242,1757315,ef4f7d01754ed803bd9f38c183a244ec594fa05339e060d19c721d10fcd8b178,1427,1265.7059442499885,PASS
12,30,32,2,7711c2a4b2a995b0fc571a24bd65d471978eb57d8ada4b72562879306c4076c0,1638281,9fc21f2731f97fb6383b5aae10bc15ec5659239cd74a560307d6c5529631d882,1425,945.891327957972,PASS
13,32,34,2,d3237ead75876663e117e265d285dc07d4fff7d8cc7ec6a06b9ca9b8b70b97a4,1546320,2c749f5f01d6b454642c1884c4ec5e6ccb65e3fe19b233f95e01be1313dd8e04,1426,1361.320460707997,PASS
