requirement_id,source_document,source_document_sha256,source_line,clause_index,source_clause_sha256,original_norm,normative_signal,section,section_heading,verifiable_expectation,runtime_entry,code_locations,config_or_schema_locations,regression_test_locations,dynamic_evidence,paper_location,status,blocking_type,repair_or_boundary
ZR-L0040-C01,reader,e6d19a65325b688b75472d9814dc9bae26b1d36e08db68cefedc1918696a635b,40,1,5f5c1b9f8845b3f04b3d006043dc39538cdbe6b843097aafd3cce75f79ef5ab5,[OMITTED_FROM_PUBLIC_REPOSITORY],HEADING_INCLUDED_FOR_COMPLETENESS,0,[OMITTED_FROM_PUBLIC_REPOSITORY],"Claims remain within the registered relative, non-causal evidence boundary.",assemble-claims,formal_v2/formal_claims.py:64,artifacts/v2_0_claim_evidence_contract.json:62,formal_v2/tests/test_formal_v2.py:1026,"full unittest, CLI, schema, package, and clean-extraction validation record; non-fixture evidence remains separate",paper_v2/main.tex,PARTIAL/PROXY,CODE_REQUIRED,"The current anchor is section-level and cannot establish atomic EXACT status; add a clause-specific implementation, configuration, regression, and dynamic-evidence mapping."
ZR-L0042-C01,reader,e6d19a65325b688b75472d9814dc9bae26b1d36e08db68cefedc1918696a635b,42,1,27f293271ea3025626178aa185d4fdb1c29adcd586e429ebbc761d97da0340ca,[OMITTED_FROM_PUBLIC_REPOSITORY],HEADING_INCLUDED_FOR_COMPLETENESS,0,[OMITTED_FROM_PUBLIC_REPOSITORY],"Claims remain within the registered relative, non-causal evidence boundary.",assemble-claims,formal_v2/formal_claims.py:64,artifacts/v2_0_claim_evidence_contract.json:62,formal_v2/tests/test_formal_v2.py:1026,"full unittest, CLI, schema, package, and clean-extraction validation record; non-fixture evidence remains separate",paper_v2/main.tex,PARTIAL/PROXY,CODE_REQUIRED,"The current anchor is section-level and cannot establish atomic EXACT status; add a clause-specific implementation, configuration, regression, and dynamic-evidence mapping."
ZR-L0044-C01,reader,e6d19a65325b688b75472d9814dc9bae26b1d36e08db68cefedc1918696a635b,44,1,08c3b07158daa2eca6fa7ef292fd387d1fde72d78ac86519e456455e1ed8089d,[OMITTED_FROM_PUBLIC_REPOSITORY],CONTEXT_INCLUDED_FOR_COMPLETENESS,0,[OMITTED_FROM_PUBLIC_REPOSITORY],"Claims remain within the registered relative, non-causal evidence boundary.",assemble-claims,formal_v2/formal_claims.py:64,artifacts/v2_0_claim_evidence_contract.json:62,formal_v2/tests/test_formal_v2.py:1026,"full unittest, CLI, schema, package, and clean-extraction validation record; non-fixture evidence remains separate",paper_v2/main.tex,PARTIAL/PROXY,CODE_REQUIRED,"The current anchor is section-level and cannot establish atomic EXACT status; add a clause-specific implementation, configuration, regression, and dynamic-evidence mapping."
ZR-L0044-C02,reader,e6d19a65325b688b75472d9814dc9bae26b1d36e08db68cefedc1918696a635b,44,2,3dead5e39f0eb7dbdda0bb587851f42bba550ec8710f343dbfb5719b5a1c8c2e,[OMITTED_FROM_PUBLIC_REPOSITORY],TERM:保持,0,[OMITTED_FROM_PUBLIC_REPOSITORY],"Claims remain within the registered relative, non-causal evidence boundary.",assemble-claims,formal_v2/formal_claims.py:64,artifacts/v2_0_claim_evidence_contract.json:62,formal_v2/tests/test_formal_v2.py:1026,"full unittest, CLI, schema, package, and clean-extraction validation record; non-fixture evidence remains separate",paper_v2/main.tex,PARTIAL/PROXY,CODE_REQUIRED,"The current anchor is section-level and cannot establish atomic EXACT status; add a clause-specific implementation, configuration, regression, and dynamic-evidence mapping."
ZR-L0046-C01,reader,e6d19a65325b688b75472d9814dc9bae26b1d36e08db68cefedc1918696a635b,46,1,9445aca07fadfffc6e8232a99ccbba1e8db577a1272518f33efa6c2ef59c4d49,[OMITTED_FROM_PUBLIC_REPOSITORY],HEADING_INCLUDED_FOR_COMPLETENESS,0,[OMITTED_FROM_PUBLIC_REPOSITORY],"Claims remain within the registered relative, non-causal evidence boundary.",assemble-claims,formal_v2/formal_claims.py:64,artifacts/v2_0_claim_evidence_contract.json:62,formal_v2/tests/test_formal_v2.py:1026,"full unittest, CLI, schema, package, and clean-extraction validation record; non-fixture evidence remains separate",paper_v2/main.tex,PARTIAL/PROXY,CODE_REQUIRED,"The current anchor is section-level and cannot establish atomic EXACT status; add a clause-specific implementation, configuration, regression, and dynamic-evidence mapping."
ZR-L0048-C01,reader,e6d19a65325b688b75472d9814dc9bae26b1d36e08db68cefedc1918696a635b,48,1,9ed08affba803cc0fc87e0546e764872b9e5f5b6ad00d1e9906b70c16666f593,[OMITTED_FROM_PUBLIC_REPOSITORY],CONTEXT_INCLUDED_FOR_COMPLETENESS,0,[OMITTED_FROM_PUBLIC_REPOSITORY],"Claims remain within the registered relative, non-causal evidence boundary.",assemble-claims,formal_v2/formal_claims.py:64,artifacts/v2_0_claim_evidence_contract.json:62,formal_v2/tests/test_formal_v2.py:1026,"full unittest, CLI, schema, package, and clean-extraction validation record; non-fixture evidence remains separate",paper_v2/main.tex,PARTIAL/PROXY,CODE_REQUIRED,"The current anchor is section-level and cannot establish atomic EXACT status; add a clause-specific implementation, configuration, regression, and dynamic-evidence mapping."
ZR-L0050-C01,reader,e6d19a65325b688b75472d9814dc9bae26b1d36e08db68cefedc1918696a635b,50,1,21308c4d18e1b4b5d5b052f3cf79f68dbbb8fa907f6fd19fefcee0693c7eec4f,[OMITTED_FROM_PUBLIC_REPOSITORY],CONTEXT_INCLUDED_FOR_COMPLETENESS,0,[OMITTED_FROM_PUBLIC_REPOSITORY],"Claims remain within the registered relative, non-causal evidence boundary.",assemble-claims,formal_v2/formal_claims.py:64,artifacts/v2_0_claim_evidence_contract.json:62,formal_v2/tests/test_formal_v2.py:1026,"full unittest, CLI, schema, package, and clean-extraction validation record; non-fixture evidence remains separate",paper_v2/main.tex,PARTIAL/PROXY,CODE_REQUIRED,"The current anchor is section-level and cannot establish atomic EXACT status; add a clause-specific implementation, configuration, regression, and dynamic-evidence mapping."
ZR-L0051-C01,reader,e6d19a65325b688b75472d9814dc9bae26b1d36e08db68cefedc1918696a635b,51,1,827eb7a0a239854fffbf2dc6ed7aa1e838685dc7cc310e50073a21c0ad956afc,[OMITTED_FROM_PUBLIC_REPOSITORY],CONTEXT_INCLUDED_FOR_COMPLETENESS,0,[OMITTED_FROM_PUBLIC_REPOSITORY],"Claims remain within the registered relative, non-causal evidence boundary.",assemble-claims,formal_v2/formal_claims.py:64,artifacts/v2_0_claim_evidence_contract.json:62,formal_v2/tests/test_formal_v2.py:1026,"full unittest, CLI, schema, package, and clean-extraction validation record; non-fixture evidence remains separate",paper_v2/main.tex,PARTIAL/PROXY,CODE_REQUIRED,"The current anchor is section-level and cannot establish atomic EXACT status; add a clause-specific implementation, configuration, regression, and dynamic-evidence mapping."
ZR-L0053-C01,reader,e6d19a65325b688b75472d9814dc9bae26b1d36e08db68cefedc1918696a635b,53,1,e410132f0ea9f0ba76fec4eda2f863f16f32ec4a47ebf2deedc9e373684462cd,[OMITTED_FROM_PUBLIC_REPOSITORY],TERM:条件,0,[OMITTED_FROM_PUBLIC_REPOSITORY],"Claims remain within the registered relative, non-causal evidence boundary.",assemble-claims,formal_v2/formal_claims.py:64,artifacts/v2_0_claim_evidence_contract.json:62,formal_v2/tests/test_formal_v2.py:1026,"full unittest, CLI, schema, package, and clean-extraction validation record; non-fixture evidence remains separate",paper_v2/main.tex,PARTIAL/PROXY,CODE_REQUIRED,"The current anchor is section-level and cannot establish atomic EXACT status; add a clause-specific implementation, configuration, regression, and dynamic-evidence mapping."
ZR-L0053-C02,reader,e6d19a65325b688b75472d9814dc9bae26b1d36e08db68cefedc1918696a635b,53,2,d20c8e989dda0cb916bd3ecbffcfc6dba41496e8d47acd853e94752f068c4746,[OMITTED_FROM_PUBLIC_REPOSITORY],CONTEXT_INCLUDED_FOR_COMPLETENESS,0,[OMITTED_FROM_PUBLIC_REPOSITORY],"Claims remain within the registered relative, non-causal evidence boundary.",assemble-claims,formal_v2/formal_claims.py:64,artifacts/v2_0_claim_evidence_contract.json:62,formal_v2/tests/test_formal_v2.py:1026,"full unittest, CLI, schema, package, and clean-extraction validation record; non-fixture evidence remains separate",paper_v2/main.tex,PARTIAL/PROXY,CODE_REQUIRED,"The current anchor is section-level and cannot establish atomic EXACT status; add a clause-specific implementation, configuration, regression, and dynamic-evidence mapping."
